Composite Rank,Name,Position,Team (23-24),League (23-24),Birthdate,Age,Height (in),Weight (lbs),Games Played,Goals,Assists,Points,Points Per Game,Penalty Minutes,Plus-minus,Goals Against Average,Save Percentage,Wins,Losses,Ties,Shootouts,Saves,Goals Against,Draft Round,Draft Pick
116,Tomas Mrsic,F,Medicine Hat Tigers,WHL,02/26/2006,18,72,170,63,23,39,62,0.98,32,0,,,,,,,,,4,113
127,Nicholas Kempf,G,U.S. National U18 Team,NTDP,,18,74,190,37,,,,,,,2.99,0.897,23,7,0,3,848,97,4,114
386,Dmitri Gamzin,G,CSKA Moskva,KHL,04/08/2003,21,75,174,13,,,,,,,1.98,0.937,7,4,1,1,355,24,4,115
181,Christian Kirsch,G,Zug U20,Swiss U20,6/18/2006,18,76,187,30,,,,,,,2.32,,22,5,1,3,,70,4,116
154,Blake Montgomery,F,Lincoln Stars,USHL,05/04/2005,19,76,181,58,22,21,43,0.74,43,8,,,,,,,,,4,117
227,Jan Golicic,D,Gatineau Olympiques,QMJHL,06/30/2006,17,78,198,65,3,26,29,0.45,48,-4,,,,,,,,,4,118
69,Raoul Boilard,F,Baie-Comeau Drakkar,QMJHL,01/07/2006,18,74,190,68,22,40,62,0.91,48,27,,,,,,,,,4,119
5449,Victor Johansson,D,Leksands IF J20,J20 Nationell,04/25/2006,18,73,143,34,2,6,8,0.24,20,6,,,,,,,,,4,120
224,Jake Fisher,F,Fargo Force,USHL,03/27/2005,19,74,192,51,23,24,47,0.92,6,15,,,,,,,,,4,121
43,Aron Kiviharju,D,HIFK,Liiga,01/25/2006,18,70,172,7,1,1,2,0.29,0,-2,,,,,,,,,4,122
398,Simon-Pier Brunet,D,Drummondville Voltigeurs,QMJHL,10/24/2005,18,74,196,52,4,10,14,0.27,56,12,,,,,,,,,4,123
145,Alexander Siryatsky,D,Stalnye Lisy Magnitogorsk,MHL,08/04/2006,17,74,159,36,5,14,19,0.53,18,2,,,,,,,,,4,124
118,Riley Patterson,F,Barrie Colts,OHL,03/22/2006,18,72,192,68,29,33,62,0.91,10,7,,,,,,,,,4,125
480,Landon Miller,G,Soo Greyhounds,OHL,01/03/2006,18,75,176,30,,,,,,,2.79,0.889,17,6,0,2,555,69,4,126
4052,Viktor Norringer,F,Frölunda HC J20,J20 Nationell,08/31/2006,17,75,194,25,8,4,12,0.48,18,4,,,,,,,,,4,127
97,Hagen Burrows,F,Minnetonka High,USHS MN,10/13/2005,18,74,165,28,19,40,59,2.11,18,,,,,,,,,,4,128
80,Simon Zether,F,Rögle BK,SHL,10/18/2005,18,75,187,42,0,4,4,0.1,25,1,,,,,,,,,4,129
209,Tyler McInnis Thorpe,F,Vancouver Giants,WHL,08/11/2005,18,77,216,51,23,21,44,0.86,30,-9,,,,,,,,,5,130
83,Colton Roberts,D,Vancouver Giants,WHL,06/08/2006,18,76,194,62,7,20,27,0.44,49,-30,,,,,,,,,5,131
357,Louka Cloutier,G,Chicago Steel,USHL,08/22/2006,17,74,168,34,,,,,,,3.68,0.904,14,14,2,1,1141,121,4,132
114,Oskar Vuollet,F,Skellefteå AIK J20,J20 Nationell,12/03/2005,18,71,181,41,29,32,61,1.49,6,22,,,,,,,,,4,133
2044,Mikus Vecvanags,G,HS Riga,Latvia,01/17/2006,18,75,159,9,,,,,,,3,0.908,,,,1,248,25,5,134
136,Owen Allard,F,Soo Greyhounds,OHL,01/13/2004,20,74,201,55,18,26,44,0.8,39,18,,,,,,,,,5,135
198,Eerik Wallenius,D,HPK U20,U20 SM-sarja,01/16/2006,18,76,212,14,3,5,8,0.57,20,-5,,,,,,,,,5,136
382,Ivan Yunin,G,Omskie Yastreby,MHL,05/06/2006,18,74,196,6,,,,,,,2.31,0.909,2,2,1,0,110,11,5,137
3163,Joel Svensson,F,Växjö Lakers HC J20,J20 Nationell,04/15/2005,19,73,185,25,24,9,33,1.32,8,11,,,,,,,,,5,138
3477,Max Graham,F,Kelowna Rockets,WHL,05/21/2004,20,75,203,67,20,22,42,0.63,135,-3,,,,,,,,,5,139
101,Sebastian Soini,D,KOOVEE,Mestis,06/10/2006,18,74,194,32,0,8,8,0.25,12,-1,,,,,,,,,5,140
79,Clarke Caswell,F,Swift Current Broncos,WHL,02/02/2006,18,71,176,68,26,51,77,1.13,20,17,,,,,,,,,5,141
216,Chase Wutzke,G,Red Deer Rebels,WHL,07/26/2006,17,74,161,36,,,,,,,2.82,0.904,19,10,2,1,862,92,5,142
135,Nate Misskey,D,Victoria Royals,WHL,01/12/2005,19,75,198,44,7,27,34,0.77,54,11,,,,,,,,,5,143
14,John Whipple,D,U.S. National U18 Team,NTDP,01/20/2006,18,73,194,61,2,15,17,0.28,54,19,,,,,,,,,5,144
171,William McIsaac,D,Spokane Chiefs,WHL,05/26/2006,18,75,192,67,6,21,27,0.4,70,15,,,,,,,,,5,145
194,Veeti Louhivaara,G,JYP,Liiga,02/06/2006,18,76,198,1,,,,,,,0,1,0,0,0,0,7,0,5,146
125,Marcus Gidlof,G,Leksands IF J20,J20 Nationell,09/28/2005,18,78,212,26,,,,,,,2.22,0.923,14,12,0,2,682,57,5,147
155,Noah Powell,F,Dubuque Fighting Saints,USHL,02/02/2005,19,72,201,61,43,31,74,1.21,57,18,,,,,,,,,5,148
149,Joona Saarelainen,F,KalPa U20,U20 SM-sarja,04/04/2006,18,69,176,41,13,23,36,0.88,20,11,,,,,,,,,5,149
53,Luke Misa,F,Mississauga Steelheads,OHL,11/25/2005,18,70,165,66,26,55,81,1.23,8,35,,,,,,,,,5,150
166,Miroslav Holinka,F,HC Oceláři Třinec U20,Czechia U20,11/10/2005,18,73,183,29,20,21,41,1.41,14,14,,,,,,,,,5,151
344,Alexander Plesovskikh,F,Mamonty Yugry,MHL,08/01/2006,17,72,172,33,8,9,17,0.52,10,8,,,,,,,,,5,152
5170,Ales Cech,D,BK Mladá Boleslav,Czechia,06/01/2004,20,74,198,40,0,7,7,0.18,20,-5,,,,,,,,,5,153
144,Jonathan Morello,F,St. Michael's Buzzers,OJHL,07/31/2006,17,75,192,50,25,32,57,1.14,22,,,,,,,,,,5,154
179,Markus Loponen,F,Kärpät U20,U20 SM-sarja,06/17/2006,18,73,185,45,25,29,54,1.2,31,40,,,,,,,,,5,155
63,Justin Poirier,F,Baie-Comeau Drakkar,QMJHL,09/04/2006,17,68,181,68,51,31,82,1.21,68,40,,,,,,,,,5,156
1434,Timofei Obvintsev,G,Krasnaya Armiya Moskva,MHL,01/06/2005,19,76,176,16,,,,,,,2.96,0.921,7,7,0,0,475,41,5,157
148,Niilopekka Muhonen,D,KalPa U20,U20 SM-sarja,02/28/2006,18,76,185,27,4,7,11,0.41,43,8,,,,,,,,,5,158
185,Nathan Aspinall,F,Flint Firebirds,OHL,03/30/2006,18,79,190,65,18,16,34,0.52,23,-8,,,,,,,,,5,159
3544,Connor Clattenburg,F,multiple,OHL,05/02/2005,19,74,196,60,13,16,29,0.48,79,1,,,,,,,,,5,160
121,Maxmilian Curran,F,Tri-City Americans,WHL,08/27/2006,17,75,190,40,5,27,32,0.8,25,-7,,,,,,,,,5,161
104,Anthony Romani,F,North Bay Battalion,OHL,07/12/2005,18,72,179,68,58,53,111,1.63,20,43,,,,,,,,,6,162
404,Ty Henry,D,Erie Otters,OHL,07/19/2006,17,76,198,54,0,7,7,0.13,44,0,,,,,,,,,6,163
247,Jared Woolley,D,London Knights,OHL,02/27/2006,18,76,214,37,3,2,5,0.14,21,5,,,,,,,,,6,164
203,Luke Ashton,D,Langley Rivermen,BCHL,01/21/2005,19,77,229,53,18,18,36,0.68,18,,,,,,,,,,6,165
426,Ben Merrill,F,St. Sebastian's School,USHS Prep,11/04/2005,18,76,194,28,11,13,24,0.86,,,,,,,,,,,6,166
204,Vojtech Hradec,F,BK Mladá Boleslav,Czechia,09/24/2005,18,76,201,25,1,0,1,0.04,2,-7,,,,,,,,,6,167
102,Timur Kol,D,Omskie Krylia,VHL,08/23/2006,17,75,198,23,5,3,8,0.35,10,0,,,,,,,,,6,168
315,Stepan Gorbunov,F,Belye Medvedi Chelyabinsk,MHL,08/11/2006,17,77,196,40,10,12,22,0.55,10,6,,,,,,,,,6,169
175,Hunter Laing,F,Prince George Cougars,WHL,05/16/2006,18,78,192,66,11,14,25,0.38,32,-5,,,,,,,,,6,170
172,Matyas Melovsky,F,Baie-Comeau Drakkar,QMJHL,05/25/2004,20,72,183,53,18,42,60,1.13,27,42,,,,,,,,,6,171
370,Patrick Geary,D,Michigan State Univ.,NCAA,02/18/2004,20,73,185,32,5,8,13,0.41,30,1,,,,,,,,,6,172
184,Ilya Pautov,F,Krasnaya Armiya Moskva,MHL,05/03/2006,18,70,165,46,15,30,45,0.98,14,6,,,,,,,,,6,173
5212,Stevie Leskovar,D,Mississauga Steelheads,OHL,09/09/2004,19,76,198,61,2,10,12,0.2,113,11,,,,,,,,,6,174
178,Joona Vaisanen,D,Dubuque Fighting Saints,USHL,07/29/2004,19,72,176,53,9,31,40,0.75,30,31,,,,,,,,,6,175
260,Charlie Forslund,F,Falu IF,HockeyEttan,5/4/2006,18,75,207,19,9,10,19,1,2,9,,,,,,,,,6,176
214,Eric Jamieson,D,Everett Silvertips,WHL,07/15/2005,18,75,203,66,10,22,32,0.48,70,34,,,,,,,,,6,177
141,Petr Sikora,F,HC Oceláři Třinec U20,Czechia U20,01/02/2006,18,72,174,30,13,27,40,1.33,32,26,,,,,,,,,6,178
152,Xavier Veilleux,D,Muskegon Lumberjacks,USHL,05/23/2006,18,72,190,62,3,29,32,0.52,42,21,,,,,,,,,6,179
234,Trent Swick,F,Kitchener Rangers,OHL,04/25/2004,20,79,216,63,25,37,62,0.98,60,24,,,,,,,,,6,180
231,Kaden Pitre,F,Flint Firebirds,OHL,02/08/2006,18,71,168,35,10,20,30,0.86,29,-9,,,,,,,,,6,181
170,Austin Burnevik,F,Madison Capitols,USHL,01/03/2005,19,76,201,61,40,31,71,1.16,24,21,,,,,,,,,6,182
3623,Albin Sundin,D,Frölunda HC J20,J20 Nationell,08/13/2004,19,74,198,41,4,13,17,0.41,59,5,,,,,,,,,6,183
147,Roman Shokhrin,D,multiple,MHL,02/19/2006,18,76,201,36,2,12,14,0.39,26,22,,,,,,,,,6,184
103,Tory Pitner,D,Youngstown Phantoms,USHL,03/06/2006,18,73,183,50,8,16,24,0.48,56,10,,,,,,,,,6,185
381,Loke Johansson,D,AIK J20,J20 Nationell,12/14/2005,18,75,214,33,5,8,13,0.39,59,5,,,,,,,,,6,186
126,Kieron Walton,F,Sudbury Wolves,OHL,04/22/2006,18,77,203,65,18,25,43,0.66,18,-5,,,,,,,,,6,187
120,Fyodor Avramov,F,Kapitan Stupino,MHL,11/19/2005,18,75,190,49,23,21,44,0.9,22,0,,,,,,,,,6,188
201,Parker Alcos,D,Edmonton Oil Kings,WHL,07/20/2006,17,75,174,67,1,14,15,0.22,29,-7,,,,,,,,,6,189
475,Ludvig Lafton,D,Frisk Asker,Norway,01/11/2006,18,74,187,21,0,2,2,0.1,4,2,,,,,,,,,6,190
2967,Rico Gredig,F,HC Davos,NL,02/01/2005,19,73,179,28,2,2,4,0.14,6,-4,,,,,,,,,6,191
282,Dalyn Wakely,F,North Bay Battalion,OHL,03/05/2004,20,72,190,66,39,65,104,1.58,71,54,,,,,,,,,6,192
2920,Hunter St. Martin,F,Medicine Hat Tigers,WHL,06/13/2005,19,74,174,68,24,28,52,0.76,50,14,,,,,,,,,6,193
1149,Yaroslav Korostelyov,G,multiple,MHL,08/07/2005,18,74,168,22,,,,,,,2.84,0.932,12,8,2,3,764,56,7,194
240,Joe Connor,F,Muskegon Lumberjacks,USHL,03/31/2005,19,70,174,50,31,29,60,1.2,55,25,,,,,,,,,7,195
254,William Nicholl,F,London Knights,OHL,05/24/2006,18,70,150,65,6,14,20,0.31,38,-2,,,,,,,,,7,196
139,Lucas Van Vliet,F,U.S. National U18 Team,NTDP,01/25/2006,18,73,181,51,13,9,22,0.43,14,7,,,,,,,,,7,197
165,James Reeder,F,Dubuque Fighting Saints,USHL,10/06/2005,18,69,168,53,20,40,60,1.13,30,11,,,,,,,,,7,198
467,Noah Steen,F,Mora IK,HockeyAllsvenskan,08/16/2004,19,73,192,40,14,3,17,0.43,24,6,,,,,,,,,7,199
366,Matthew Lahey,D,Nanaimo Clippers,BCHL,07/17/2006,17,76,201,54,2,17,19,0.35,42,,,,,,,,,,7,200
1217,Denis Gabdrakhmanov,G,Tyumenski Legion,MHL,06/22/2005,19,75,187,40,,,,,,,2.55,0.924,10,20,7,1,1137,93,7,201
98,Jakub Fibigr,D,Mississauga Steelheads,OHL,07/22/2006,17,72,172,61,7,36,43,0.7,35,13,,,,,,,,,7,202
164,Austin Baker,F,U.S. National U18 Team,NTDP,02/11/2006,18,72,192,59,15,16,31,0.53,29,8,,,,,,,,,7,203
402,Vasili Zelenov,F,RB Hockey Juniors,AlpsHL,02/02/2006,18,71,170,40,14,23,37,0.93,24,22,,,,,,,,,7,204
434,Austin Moline,D,Shattuck St. Mary's 18U Prep,USHS Prep,11/21/2005,18,76,194,57,8,27,35,0.61,16,,,,,,,,,,7,205
277,Harrison Meneghin,G,Lethbridge Hurricanes,WHL,09/13/2004,19,75,170,53,,,,,,,2.59,0.919,27,20,5,3,1483,131,7,206
107,Mac Swanson,F,Fargo Force,USHL,01/10/2006,18,67,157,55,26,51,77,1.4,6,39,,,,,,,,,7,207
2916,Fisher Scott,D,Dubuque Fighting Saints,USHL,10/27/2004,19,73,179,61,8,25,33,0.54,30,28,,,,,,,,,7,208
3899,Antoine Dorion,F,Québec Remparts,QMJHL,11/02/2005,18,72,190,68,11,15,26,0.38,44,-22,,,,,,,,,7,209
241,Makar Khanin,F,Dynamo St. Petersburg,VHL,03/17/2005,19,72,161,35,9,18,27,0.77,8,7,,,,,,,,,7,210
180,Matvei Korotky,F,SKA-1946 St. Petersburg,MHL,12/23/2005,18,74,190,51,20,18,38,0.75,22,24,,,,,,,,,7,211
221,Miroslav Satan,F,multiple,Slovakia U20,03/02/2006,18,79,190,27,14,17,31,1.15,20,15,,,,,,,,,7,212
249,Erik Pahlsson,F,Dubuque Fighting Saints,USHL,04/09/2004,20,73,183,57,28,44,72,1.26,16,23,,,,,,,,,7,213
202,Darels Uljanskis,D,AIK J20,J20 Nationell,08/25/2006,17,74,192,45,11,18,29,0.64,20,1,,,,,,,,,7,214
76,Christian Humphreys,F,U.S. National U18 Team,NTDP,02/04/2006,18,71,170,52,23,35,58,1.12,22,14,,,,,,,,,7,215
348,Sam McCue,F,multiple,OHL,10/03/2005,18,73,187,68,23,14,37,0.54,53,-10,,,,,,,,,7,216
582,Nikita Prishchepov,F,Victoriaville Tigres,QMJHL,02/20/2004,20,73,187,63,22,45,67,1.06,70,16,,,,,,,,,7,217
379,Bauer Berry,D,Muskegon Lumberjacks,USHL,10/31/2005,18,76,196,59,1,13,14,0.24,83,12,,,,,,,,,7,218
85,Ryerson Leenders,G,Mississauga Steelheads,OHL,06/01/2006,18,74,179,46,,,,,,,3.12,0.909,24,17,4,3,1388,139,7,219
163,Andrei Krutov,F,Chaika Nizhny Novgorod,MHL,04/25/2006,18,71,174,41,21,29,50,1.22,12,22,,,,,,,,,7,220
462,Basile Sansonnens,D,Gottéron U20,Swiss U20,08/19/2006,17,76,198,40,1,2,3,0.08,35,,,,,,,,,,7,221
330,William Samuelsson,F,Södertälje SK J20,J20 Nationell,09/27/2005,18,72,176,50,18,26,44,0.88,49,5,,,,,,,,,7,222
297,Finn Harding,D,Mississauga Steelheads,OHL,03/02/2005,19,73,183,68,10,24,34,0.5,54,39,,,,,,,,,7,223
5123,Rasmus Bergqvist,D,Skellefteå AIK J20,J20 Nationell,06/05/2005,19,74,181,36,4,8,12,0.33,30,-2,,,,,,,,,7,224
238,Nathan Mayes,D,Spokane Chiefs,WHL,06/10/2006,18,75,181,68,1,15,16,0,58,-16,,,,,,,,,7,225